id,state_full,state,poverty,income
1,Alabama,AL,19.3,42830
2,Alaska,AK,11.2,71583
4,Arizona,AZ,18.2,50068
5,Arkansas,AR,18.9,41262
6,California,CA,16.4,61933
8,Colorado,CO,12,61303
9,Connecticut,CT,10.8,70048
10,Delaware,DE,12.5,59716
11,Washington D.C.,DC,17.7,71648
12,Florida,FL,16.5,47463
13,Georgia,GA,18.3,49321
15,Hawaii,HI,11.4,69592
16,Idaho,ID,14.8,47861
17,Illinois,IL,14.4,57444
18,Indiana,IN,15.2,49446
19,Iowa,IA,12.2,53712
20,Kansas,KS,13.6,52504
21,Kentucky,KY,19.1,42958
22,Louisiana,LA,19.8,44555
23,Maine,ME,14.1,49462
24,Maryland,MD,10.1,73971
25,Massachusetts,MA,11.6,69160
26,Michigan,MI,16.2,49847
27,Minnesota,MN,11.5,61481
28,Mississippi,MS,21.5,39680
29,Missouri,MO,15.5,48363
30,Montana,MT,15.4,46328
31,Nebraska,NE,12.4,52686
32,Nevada,NV,15.2,51450
33,New Hampshire,NH,9.2,66532
34,New Jersey,NJ,11.1,71919
35,New Mexico,NM,21.3,44803
36,New York,NY,15.9,58878
37,North Carolina,NC,17.2,46556
38,North Dakota,ND,11.5,59029
39,Ohio,OH,15.8,49308
40,Oklahoma,OK,16.6,47529
41,Oregon,OR,16.6,51075
42,Pennsylvania,PA,13.6,53234
44,Rhode Island,RI,14.3,54891
45,South Carolina,SC,18,45238
46,South Dakota,SD,14.2,50979
47,Tennessee,TN,18.3,44361
48,Texas,TX,17.2,53035
49,Utah,UT,11.7,60922
50,Vermont,VT,12.2,54166
51,Virginia,VA,11.8,64902
53,Washington,WA,13.2,61366
54,West Virginia,WV,18.3,41059
55,Wisconsin,WI,13.2,52622
56,Wyoming,WY,11.2,57055
